nominatim;nombre_breve
Partido de Almirante Brown, Argentina;Almirante Brown
Partido de Avellaneda, Buenos Aires, Argentina;Avellaneda
Partido de Berazategui, Buenos Aires, Argentina;Berazategui
Partido de Brandsen, Buenos Aires, Argentina;Brandsen
Partido de Cañuelas, Buenos Aires, Argentina;Cañuelas
Partido de Campana, Buenos Aires, Argentina;Campana
Partido de General San Martín, Buenos Aires, Argentina;General San Martín
Partido de Ensenada, Buenos Aires, Argentina;Ensenada
Partido de Escobar, Buenos Aires, Argentina;Escobar
Partido de Esteban Echeverría, Buenos Aires, Argentina;Esteban Echeverría
Partido de Exaltación de la Cruz, Buenos Aires, Argentina;Exaltación de la Cruz
Partido de Florencio Varela, Buenos Aires, Argentina;Florencio Varela
Partido de General Las Heras, Buenos Aires, Argentina;General Las Heras
Partido de General Rodríguez, Buenos Aires, Argentina;General Rodríguez
Partido de Hurlingham, Buenos Aires, Argentina;Hurlingham
Partido de Ituzaingó, Buenos Aires, Argentina;Ituzaingó
Partido de José C. Paz, Buenos Aires, Argentina;José C. Paz
Partido de Ezeiza, Buenos Aires, Argentina;Ezeiza
Partido de La Matanza, Buenos Aires, Argentina;La Matanza
Partido de La Plata, Buenos Aires, Argentina;La Plata
Partido de Lanús, Buenos Aires, Argentina;Lanús
Partido de Lobos, Buenos Aires, Argentina;Lobos
Partido de Lomas de Zamora, Buenos Aires, Argentina;Lomas de Zamora
Partido de Luján, Buenos Aires, Argentina;Luján
Partido de Malvinas Argentinas, Buenos Aires, Argentina;Malvinas Argentinas
Partido de Marcos Paz, Buenos Aires, Argentina;Marcos Paz
Partido de Mercedes, Buenos Aires, Argentina;Mercedes
Partido de Merlo, Buenos Aires, Argentina;Merlo
Partido de Morón, Buenos Aires, Argentina;Morón
Partido de Moreno, Buenos Aires, Argentina;Moreno
Partido de Navarro, Buenos Aires, Argentina;Navarro
Partido del Pilar, Buenos Aires, Argentina;Pilar
Partido de Presidente Perón, Buenos Aires, Argentina;Presidente Perón
Partido de Quilmes, Buenos Aires, Argentina;Quilmes
Partido de San Fernando, Buenos Aires, Argentina;San Fernando
Partido de San Isidro, Buenos Aires, Argentina;San Isidro
Partido de San Miguel, Buenos Aires, Argentina;San Miguel
Partido de San Vicente, Buenos Aires, Argentina;San Vicente
Partido de Tigre, Buenos Aires, Argentina;Tigre
Partido de Tres de Febrero, Buenos Aires, Argentina;Tres de Febrero
Partido de Vicente López, Buenos Aires, Argentina;Vicente López
Partido de Zárate, Buenos Aires, Argentina;Zárate
Buenos Aires, Argentina;CABA
